municipio,mean,sd
GuarulhosSP,0.385271211061627,0.307402710057795
CampinasSP,0.287211870262399,0.551592819578946
OsascoSP,0.324417029414326,0.394758850708604
SorocabaSP,0.386931642191485,0.540664361789823
NiteroiRJ,0.257901659980416,0.448672695551068
PetropolisRJ,0.276399276219308,0.590359699353576
