municipio,mean,sd
Guarulhos-SP,0.218533345358446,0.335781805217266
Campinas-SP,0.244822546094656,0.57945093754679
Osasco-SP,0.295812996709719,0.651235175691545
Sorocaba-SP,0.315082763694227,0.318756008055061
Niteroi-RJ,0.331046127807349,0.345286549627781
Petropolis-RJ,0.390235796896741,0.437147025857121
